,Unnamed: 0,key,loc_x,loc_y,address,datetime,hashtag,address_unit
33,34,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,애월카레,애월읍
34,35,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,카레맛집,애월읍
35,36,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주핫플,애월읍
36,37,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주도민맛집,애월읍
37,38,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,짬뽕카레,애월읍
38,39,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주맛집,애월읍
39,40,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주혼밥맛집,애월읍
40,41,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주맛집추천,애월읍
41,42,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주오션뷰맛집,애월읍
42,43,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,애월밥집추천,애월읍
43,44,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주도카레,애월읍
44,45,https://www.instagram.com/p/CHxAdPDFGmY/,126.381106668339,33.4842446359284,제주특별자치도 제주시 애월읍 구엄리 509,2020-11-19T08:32:00.000Z,제주저녁식사,애월읍
