,location,place,count
0,안덕면,맛집,5
1,애월읍,맛집,191
6,조천읍,맛집,27
7,한림읍,맛집,43
11,월평동,맛집,3
13,용담1동,맛집,17
17,하효동,맛집,11
20,구좌읍,맛집,28
23,대정읍,맛집,20
24,남원읍,맛집,2
27,성산읍,맛집,34
30,연동,맛집,11
31,대포동,맛집,1
32,서귀동,맛집,2
33,노형동,맛집,1
34,우도면,맛집,2
41,표선면,맛집,6
42,색달동,맛집,8
44,한경면,맛집,2
51,일도1동,맛집,1
52,이도2동,맛집,3
53,서호동,맛집,1
