,key,datetime,author,caption,hashtags,location,address,x,y,address_unit
463,https://www.instagram.com/p/CH-M_milYui/,2020-11-24T11:31:41.000Z,sanga_kidsvideoschool,"#제주 #청수리 #이장님 #청년회 팀장님과 하루만에 친해진 #나란여자
@nodrey_happylife #너란여자

@ddang.kim @kyk.0804 @song32813
@hwi_1106 #귤농사 지으러 갑싀당

#반딧불이마을 #제주다움 #제주가볼만한곳 #제주핫플 #김포맘 #맘카페 #맘스타그램 #제주니아","['제주', '청수리', '이장님', '청년회', '나란여자', '너란여자', '귤농사', '반딧불이마을', '제주다움', '제주가볼만한곳', '제주핫플', '김포맘', '맘카페', '맘스타그램', '제주니아']",제주시 한경면 청수리,제주특별자치도 제주시 한경면 청수리 산 4,126.2619787298259,33.30109976170143,한경면
471,https://www.instagram.com/p/CH-M4_thei3/,2020-11-24T11:30:47.000Z,sunyoung_pd,"정말 무계획으로 갑자기 떠난 #제주
그런데 너무나도 좋았던 #jeju
1.#카페델문도 모카번 인절미빵 적극 추천
얼마나 맛있었으면 셋째날 아침으로 포장하러 두번 방문함
2.#버드나무집 해물이 가득 들어있어 맛이 없을 수 없는 칼국수
3.#털보스협재밀 갈치구이와 김밥을 넘나 좋아하는 1인으로서 이것은 진리
4.#카페모알보알 모발모발 아니죠ㅋ풍경멍때리기 너무 좋은 곳
5.#고집돌우럭 함덕근처 맛집 검색 후 기대없이 갔다가 고추장에 빠진 우럭맛이 남달랐던
.
#써니pd #여행후기
#제주맛집 #제주카페 #맛집스타그램","['제주', 'jeju', '카페델문도', '버드나무집', '털보스협재밀', '카페모알보알', '고집돌우럭', '써니pd', '여행후기', '제주맛집', '제주카페', '맛집스타그램']",푸른섬 제주도,제주특별자치도 서귀포시 표선면 표선리 2919,126.812424476454,33.3079427982969,표선면
472,https://www.instagram.com/p/CH-MvOkD-tg/,2020-11-24T11:29:40.000Z,ocean_brick,"이것이 힐링😘
.
.
.
.
#산방산카페 #산방산맛집 #오션브릭","['산방산카페', '산방산맛집', '오션브릭']",오션브릭,제주특별자치도 서귀포시 안덕면 화순리 2021,126.3249561661,33.2420271360949,안덕면
477,https://www.instagram.com/p/CH-QNK3hfql/,2020-11-24T11:59:45.000Z,jandi_visiting,"담쟁이덩쿨로 덮여진 초록빛 세상🟢
식물들의 온도 22’ 습도60%
#제주도 #식물카페 #성산카페 #잔디공장
.
📍서귀포시 성산읍 일주동로5154번길 5
🟡OPEN 11:00 ~ 19:00
✅YES 애견동반가능한집 🐶 YES 키드존 👶🏻
.
🌱초록은 동색이 될 수 없는 메뉴🌱
-잔디우유
-잔디라떼
-잔디스무디
-새콤하다에이드
-잔디잼토스트
.
#제주 #서귀포 #한라산 #오름투어 #제주오름 #새별오름#용눈이오름 #백약이오름 #안돌오름 #아부오름 #물영아리오름 #지미봉 #윗세오름 #갯깍주상절리 #진곶내 #큰엉해안경승지 #사려니숲길 #금오름 #도두봉 #도두해안도로 #제주동백","['제주도', '식물카페', '성산카페', '잔디공장', '제주', '서귀포', '한라산', '오름투어', '제주오름', '새별오름', '용눈이오름', '백약이오름', '안돌오름', '아부오름', '물영아리오름', '지미봉', '윗세오름', '갯깍주상절리', '진곶내', '큰엉해안경승지', '사려니숲길', '금오름', '도두봉', '도두해안도로', '제주동백']",잔디공장,제주특별자치도 서귀포시 성산읍 신산리 1073-9,126.873289850307,33.3774305792331,성산읍
478,https://www.instagram.com/p/CH-QKAXDKEp/,2020-11-24T11:59:19.000Z,0507o_o,#제주 #20 #01 #insta #instagram #daily #인스타 #데일리 #일상 #소통 #사진 #피드 #좋아요 #좋아요반사 #좋반테러 #팔로우 #선팔하면맞팔 #맞팔 #팔로미 #followme #followfollow #fff #likeforlikeback #첫줄반사 #셀스타 #셀카그램 #럽스타그램 #다렉 #카페,"['제주', '20', '01', 'insta', 'instagram', 'daily', '인스타', '데일리', '일상', '소통', '사진', '피드', '좋아요', '좋아요반사', '좋반테러', '팔로우', '선팔하면맞팔', '맞팔', '팔로미', 'followme', 'followfollow', 'fff', 'likeforlikeback', '첫줄반사', '셀스타', '셀카그램', '럽스타그램', '다렉', '카페']",관심사,제주특별자치도 제주시 이도일동 1413-1,126.524576977046,33.511251441666,이도1동
479,https://www.instagram.com/p/CH-QEE5jJOP/,2020-11-24T11:58:30.000Z,0507o_o,#제주 #20 #01 #insta #instagram #daily #인스타 #데일리 #일상 #소통 #사진 #피드 #좋아요 #좋아요반사 #좋반테러 #팔로우 #선팔하면맞팔 #맞팔 #팔로미 #followme #followfollow #fff #likeforlikeback #첫줄반사 #셀스타 #셀카그램 #럽스타그램 #다렉 #카페,"['제주', '20', '01', 'insta', 'instagram', 'daily', '인스타', '데일리', '일상', '소통', '사진', '피드', '좋아요', '좋아요반사', '좋반테러', '팔로우', '선팔하면맞팔', '맞팔', '팔로미', 'followme', 'followfollow', 'fff', 'likeforlikeback', '첫줄반사', '셀스타', '셀카그램', '럽스타그램', '다렉', '카페']",관심사,제주특별자치도 제주시 이도일동 1413-1,126.524576977046,33.511251441666,이도1동
502,https://www.instagram.com/p/CH-Ou_uBvfB/,2020-11-24T11:46:54.000Z,s_hxx,"곽상희 해녀 13세
.
.
.
.
.
#카페 #갬성 #일상 #제주 #한번도 #안가봄
#일요일 #엄마랑데이트 #다이어트 #다이어터","['카페', '갬성', '일상', '제주', '한번도', '안가봄', '일요일', '엄마랑데이트', '다이어트', '다이어터']",어반제주,제주특별자치도 제주시 애월읍 고성리 902-12,126.422180864889,33.4357768092036,애월읍
507,https://www.instagram.com/p/CH-SSD6jS_9/,2020-11-24T12:18:02.000Z,marevento_jeju,"이래서 노을맛집 노을맛집 하는거죠~~😍😍😍👍👍

#제주#애월파스타#마레벤또#marevento #이태리식당 #제주맛집 #애월맛집 #한담맛집 #곽지맛집 #제주스타그램 #파스타그램 #푸드스타그램 #올레길15b코스 #한담해안산책로 #한담해변 #한담맛집#한담카페거리
#제주해녀돌담파스타
#해녀돌담파스타 #제주돌담파스타 #돌담파스타#노을맛집","['제주', '애월파스타', '마레벤또', 'marevento', '이태리식당', '제주맛집', '애월맛집', '한담맛집', '곽지맛집', '제주스타그램', '파스타그램', '푸드스타그램', '올레길15b코스', '한담해안산책로', '한담해변', '한담맛집', '한담카페거리', '제주해녀돌담파스타', '해녀돌담파스타', '제주돌담파스타', '돌담파스타', '노을맛집']",마레벤또,제주특별자치도 제주시 애월읍 애월리 2501-1,126.311651375914,33.4626081855416,애월읍
531,https://www.instagram.com/p/CH-RU4DjERF/,2020-11-24T12:09:32.000Z,eee.yeon,바람은 차고 볕은 따땃하고 하늘은 깨끗하고 날이 참 좋네 #제주 #Jeju #drive #daily #cafe #카페 #coffee #커피 #티타임 #풀베개 #대화 #수다 #오늘 #날씨 #좋다 #겨울 #시작 #언니 #덕분에 #refresh #기분전환 #건강하게 #살자 #행복하자,"['제주', 'Jeju', 'drive', 'daily', 'cafe', '카페', 'coffee', '커피', '티타임', '풀베개', '대화', '수다', '오늘', '날씨', '좋다', '겨울', '시작', '언니', '덕분에', 'refresh', '기분전환', '건강하게', '살자', '행복하자']",풀베개,제주특별자치도 서귀포시 안덕면 서광리 1756-1,126.303224677035,33.285512856952,안덕면
544,https://www.instagram.com/p/CH-UW0oDtXL/,2020-11-24T12:36:01.000Z,13.12.21,"좋아하지도 않는 여행이 가고싶어짐
코로나 제발꺼져..
.
.
#제주 #제주시 #제주도 #소통 #일상 #코로나 #코로나19물러가라 #여행 #커피 #데일리 #꽃 #해외여행 #가고싶다 #국내라도좋다 #이너프 #제주이너프 #제주카페 #제주카페추천 #좋아요 #맞팔 #선팔 #제주맛집","['제주', '제주시', '제주도', '소통', '일상', '코로나', '코로나19물러가라', '여행', '커피', '데일리', '꽃', '해외여행', '가고싶다', '국내라도좋다', '이너프', '제주이너프', '제주카페', '제주카페추천', '좋아요', '맞팔', '선팔', '제주맛집']","Enough, 이너프",제주특별자치도 서귀포시 안덕면 창천리 844-2,126.364601384824,33.2359138258788,안덕면
