,location,place,count
13,남원읍,한달살기,2
18,표선면,한달살기,1
27,애월읍,한달살기,8
38,구좌읍,한달살기,1
46,성산읍,한달살기,1
48,안덕면,한달살기,1
52,용담2동,한달살기,1
54,대정읍,한달살기,1
