,location,place,count
4,연동,술집,17
12,남원읍,술집,1
14,한림읍,술집,47
15,애월읍,술집,1
37,구좌읍,술집,9
39,대정읍,술집,1
45,한경면,술집,4
49,표선면,술집,1
