,location,place,count
2,성산읍,카페,77
3,애월읍,카페,16
5,한림읍,카페,25
9,남원읍,카페,15
10,구좌읍,카페,40
16,조천읍,카페,3
18,하효동,카페,4
19,안덕면,카페,31
22,표선면,카페,4
25,서귀동,카페,1
26,일도1동,카페,3
28,우도면,카페,7
29,연동,카페,3
35,법환동,카페,1
38,대정읍,카페,2
40,한경면,카페,2
46,일도2동,카페,4
47,노형동,카페,2
50,신효동,카페,1
